JOBID,PROJECT_NAME,JOB_NAME,TARGET_OBJECT_NAME
3004,RESERVATION,ODS_EDW.RES_RGT.0500.Load_DIM_Operator,EDW_P.RES.DIM_OPERATOR
3005,RESERVATION,ODS_EDW.RES_RGT.0600.Load_DIM_Res,EDW_P.RES.DIM_RES
3006,RESERVATION,ODS_EDW.RES_RGT.0700.Load_DIM_Guest,EDW_P.RES.DIM_GUEST
3489,RESERVATION,SUPP_EDW.SUPP.0880.Load_Amenities_Supp,LZ_D_BUSINESS_SUPPORT.APP_DAP.AMENITIES_SUPP
3494,RESERVATION,SUPP_EDW.SUPP.1.Load_Agency_Hierarchy_Supp,STG_P.RES_SUPP.AGENCY_HIERARCHY_SUPP
3496,RESERVATION,SUPP_EDW.SUPP.1.Load_Fin_Ledger_Supp,STG_P.FIN_SUPP.FIN_LEDGER_SUPP
3499,RESERVATION,SUPP_EDW.SUPP.11.Load_Fin_Report_Exclusion_Supp,STG_P.FIN_SUPP.FIN_REPORT_EXCLUSION_SUPP
3502,RESERVATION,SUPP_EDW.SUPP.15.Load_Asset_Master_Supp,STG_P.CAS_SUPP.ASSET_MASTER_SUPP
3504,RESERVATION,SUPP_EDW.SUPP.2.Load_Casino_Slot_Master_Desc_Supp,STG_P.CAS_SUPP.CASINO_SLOT_MASTER_DESC_SUPP
3506,RESERVATION,SUPP_EDW.SUPP.23.Load_Casino_Source_Details_Supp,STG_P.CAS_SUPP.CASINO_SOURCE_DETAILS_SUPP
3511,RESERVATION,SUPP_EDW.SUPP.245.Load_Prevent_Departure_Supp,STG_P.RES_SUPP.PREVENT_DEPARTURE_NAMES_SUPP
3513,RESERVATION,SUPP_EDW.SUPP.25.Load_Category_Master_Supp,STG_P.RES_SUPP.CATEGORY_MASTER_SUPP
3515,RESERVATION,SUPP_EDW.SUPP.3.Load_Currency_Exchange_Rate_Supp,AMENITY_DETAILS_SUPP
3515,RESERVATION,SUPP_EDW.SUPP.3.Load_Currency_Exchange_Rate_Supp,STG_P.RES_SUPP.CURRENCY_EXCHANGE_RATE_SUPP
3520,RESERVATION,SUPP_EDW.SUPP.35.Load_District_Master_Supp,STG_P.RES_SUPP.DISTRICT_MASTER_SUPP
3520,RESERVATION,SUPP_EDW.SUPP.35.Load_District_Master_Supp,DW_SUPP.DISTRICT_MASTER_SUPP
3523,RESERVATION,SUPP_EDW.SUPP.4.Load_Full_Ship_Charters_Supp,STG_P.RES_SUPP.FULL_SHIP_CHARTERS_SUPP
3525,RESERVATION,SUPP_EDW.SUPP.45.Load_Guest_Types_Supp,GUEST_TYPES_SUPP
3525,RESERVATION,SUPP_EDW.SUPP.45.Load_Guest_Types_Supp,STG_GUEST_TYPES_SUPP
3525,RESERVATION,SUPP_EDW.SUPP.45.Load_Guest_Types_Supp,STG_GUEST_TYPES_INFO
3525,RESERVATION,SUPP_EDW.SUPP.45.Load_Guest_Types_Supp,GUEST_TYPES_SOURCE_SUPP
3529,RESERVATION,SUPP_EDW.SUPP.5.Load_Region_Master_Supp,STG_P.RES_SUPP.REGION_MASTER_SUPP
