JOBID,PROJECT_NAME,JOB_NAME,SOURCE_OBJECT_NAME
2685,RESERVATION,ODS_EDW.RES_NCL.1242.Load_FACT_Minibar_Cost,ODS_P_BUSINESS_SUPPORT.FIN_SUPP.FIN_REPORT_EXCLUSION_SUPP
2685,RESERVATION,ODS_EDW.RES_NCL.1242.Load_FACT_Minibar_Cost,EDW_P.RES.FACT_INVOICE
2696,RESERVATION,ODS_EDW.RES_NCL.1244.Load_FACT_CMI_GRP_Amenity_Cost,ODS_P.RES_SW.AM_CODE
2696,RESERVATION,ODS_EDW.RES_NCL.1244.Load_FACT_CMI_GRP_Amenity_Cost,ODS_P.RES_SW.AM_ORDER_ITEM
2696,RESERVATION,ODS_EDW.RES_NCL.1244.Load_FACT_CMI_GRP_Amenity_Cost,ODS_P.RES_SW.GROUP_BOOKING
2696,RESERVATION,ODS_EDW.RES_NCL.1244.Load_FACT_CMI_GRP_Amenity_Cost,ODS_P.RES_SW.RES_GUEST
2696,RESERVATION,ODS_EDW.RES_NCL.1244.Load_FACT_CMI_GRP_Amenity_Cost,ODS_P.RES_SW.RES_HEADER
2696,RESERVATION,ODS_EDW.RES_NCL.1244.Load_FACT_CMI_GRP_Amenity_Cost,EDW_P.RES.DIM_INVOICE_ITEM_TYPE
2696,RESERVATION,ODS_EDW.RES_NCL.1244.Load_FACT_CMI_GRP_Amenity_Cost,EDW_P.RES.DIM_RES
2696,RESERVATION,ODS_EDW.RES_NCL.1244.Load_FACT_CMI_GRP_Amenity_Cost,EDW_P.RES.DIM_VOYAGE_PRORATION
2696,RESERVATION,ODS_EDW.RES_NCL.1244.Load_FACT_CMI_GRP_Amenity_Cost,EDW_P.RES.DIM_VOYAGE
2696,RESERVATION,ODS_EDW.RES_NCL.1244.Load_FACT_CMI_GRP_Amenity_Cost,ODS_P.RES_SW.AM_ORDER_HEADER
2696,RESERVATION,ODS_EDW.RES_NCL.1244.Load_FACT_CMI_GRP_Amenity_Cost,EDW_P.RES.DIM_GUEST
2696,RESERVATION,ODS_EDW.RES_NCL.1244.Load_FACT_CMI_GRP_Amenity_Cost,EDW_P.RES.DIM_GROUP
2706,RESERVATION,ODS_EDW.RES_NCL.1244.Load_FACT_Invoice_Flat_Adj,EDW_P.RES.DIM_INVOICE_ITEM_TYPE
2706,RESERVATION,ODS_EDW.RES_NCL.1244.Load_FACT_Invoice_Flat_Adj,EDW_P.RES.DIM_VOYAGE_PRORATION
2706,RESERVATION,ODS_EDW.RES_NCL.1244.Load_FACT_Invoice_Flat_Adj,EDW_P.RES.DIM_VOYAGE
2706,RESERVATION,ODS_EDW.RES_NCL.1244.Load_FACT_Invoice_Flat_Adj,ODS_P_BUSINESS_SUPPORT…CMI_SUPP
2706,RESERVATION,ODS_EDW.RES_NCL.1244.Load_FACT_Invoice_Flat_Adj,EDW_P.RES.DIM_AGENCY
2706,RESERVATION,ODS_EDW.RES_NCL.1244.Load_FACT_Invoice_Flat_Adj,EDW_P.RES.DIM_GROUP
2706,RESERVATION,ODS_EDW.RES_NCL.1244.Load_FACT_Invoice_Flat_Adj,ODS_P_BUSINESS_SUPPORT.RES_SUPP.THIRD_PARTY_COMMISSION_SUPP
2727,RESERVATION,ODS_EDW.RES_NCL.125.Load_FACT_Adjust_Invoice,EDW_P.RES.DIM_INVOICE_ITEM_TYPE
2727,RESERVATION,ODS_EDW.RES_NCL.125.Load_FACT_Adjust_Invoice,EDW_P.RES.DIM_VOYAGE_PRORATION
2744,RESERVATION,ODS_EDW.RES_NCL.15.Load_Client_Matches,EDW_P.RES.DIM_RES
2744,RESERVATION,ODS_EDW.RES_NCL.15.Load_Client_Matches,EDW_P.RES.DIM_VOYAGE
2744,RESERVATION,ODS_EDW.RES_NCL.15.Load_Client_Matches,EDW_P.RES.DIM_GUEST
2744,RESERVATION,ODS_EDW.RES_NCL.15.Load_Client_Matches,EDW_P.RES.CLIENT_MATCHES
2744,RESERVATION,ODS_EDW.RES_NCL.15.Load_Client_Matches,ODS_P.RES_SW.ACC_TRANS_DETAIL
2744,RESERVATION,ODS_EDW.RES_NCL.15.Load_Client_Matches,NCLDW.CLIENT_MATCHES
2744,RESERVATION,ODS_EDW.RES_NCL.15.Load_Client_Matches,EDW_P.RES.DIM_CLIENT
2744,RESERVATION,ODS_EDW.RES_NCL.15.Load_Client_Matches,ODS_P.RES_SW.VCS_ADDITIONAL_FIELD_VALUE
2759,RESERVATION,ODS_EDW.RES_NCL.15.Load_DIM_Ship,ODS_P_BUSINESS_SUPPORT.RES_SUPP.SHIP_MASTER_SUPP
2761,RESERVATION,ODS_EDW.RES_NCL.15.Load_FACT_Capacity_Delta,ODS_P.RES_SW.SHIP_INVENTORY_ALLOC
2761,RESERVATION,ODS_EDW.RES_NCL.15.Load_FACT_Capacity_Delta,ODS_P.RES_SW.RES_PACKAGE
2761,RESERVATION,ODS_EDW.RES_NCL.15.Load_FACT_Capacity_Delta,ODS_P.RES_SW.PACKAGE_DEFINITION
2761,RESERVATION,ODS_EDW.RES_NCL.15.Load_FACT_Capacity_Delta,ODS_P.DSSTG.STG_NCL_DW_TRIGGER_LOG_INFO
2761,RESERVATION,ODS_EDW.RES_NCL.15.Load_FACT_Capacity_Delta,EDW_P.RES.DIM_CABIN_CATEGORY
2761,RESERVATION,ODS_EDW.RES_NCL.15.Load_FACT_Capacity_Delta,EDW_P.RES.DIM_VOYAGE
2761,RESERVATION,ODS_EDW.RES_NCL.15.Load_FACT_Capacity_Delta,EDW_P.RES.DIM_GROUP
2761,RESERVATION,ODS_EDW.RES_NCL.15.Load_FACT_Capacity_Delta,EDW_P.RES.FACT_CAPACITY
2761,RESERVATION,ODS_EDW.RES_NCL.15.Load_FACT_Capacity_Delta,EDW_P.RES.DIM_RES
2761,RESERVATION,ODS_EDW.RES_NCL.15.Load_FACT_Capacity_Delta,EDW_P.RES.DIM_VOYAGE_PRORATION
2761,RESERVATION,ODS_EDW.RES_NCL.15.Load_FACT_Capacity_Delta,ODS_P.RES_SW.RES_HEADER
2761,RESERVATION,ODS_EDW.RES_NCL.15.Load_FACT_Capacity_Delta,ODS_P.RES_SW.SHIP_CABIN_RESERVE_TYPE
2761,RESERVATION,ODS_EDW.RES_NCL.15.Load_FACT_Capacity_Delta,ODS_P.RES_SW.SHIP_CABIN_RESERVE
2794,RESERVATION,ODS_EDW.RES_NCL.15.Load_FACT_TA_Commission,EDW_P.RES.DIM_INVOICE_ITEM_TYPE
2794,RESERVATION,ODS_EDW.RES_NCL.15.Load_FACT_TA_Commission,ODS_P.RES_SW.ACC_REFUND_CHECK_TRANS
2794,RESERVATION,ODS_EDW.RES_NCL.15.Load_FACT_TA_Commission,ODS_P.RES_SW.ACC_REFUND_CHECK_LINE
2794,RESERVATION,ODS_EDW.RES_NCL.15.Load_FACT_TA_Commission,ODS_P.RES_SW.ACC_REFUND_CHECK
2794,RESERVATION,ODS_EDW.RES_NCL.15.Load_FACT_TA_Commission,ODS_P_BUSINESS_SUPPORT.RES_SUPP.CURRENCY_EXCHANGE_RATE_SUPP
2794,RESERVATION,ODS_EDW.RES_NCL.15.Load_FACT_TA_Commission,EDW_P.RES.DIM_AGENCY_PAYMENT
2794,RESERVATION,ODS_EDW.RES_NCL.15.Load_FACT_TA_Commission,EDW_P.RES.DIM_GROUP
2794,RESERVATION,ODS_EDW.RES_NCL.15.Load_FACT_TA_Commission,EDW_P.RES.DIM_RES
2794,RESERVATION,ODS_EDW.RES_NCL.15.Load_FACT_TA_Commission,EDW_P.RES.DIM_VOYAGE
2794,RESERVATION,ODS_EDW.RES_NCL.15.Load_FACT_TA_Commission,EDW_P.RES.DIM_AGENCY
2794,RESERVATION,ODS_EDW.RES_NCL.15.Load_FACT_TA_Commission,EDW_P.RES.DIM_VOYAGE_PRORATION
2804,RESERVATION,ODS_EDW.RES_NCL.155.Load_DIM_Voyage,ODS_P_BUSINESS_SUPPORT.RES_SUPP.CMI_SUPP
2804,RESERVATION,ODS_EDW.RES_NCL.155.Load_DIM_Voyage,EDW_P.RES.DIM_VOYAGE
2804,RESERVATION,ODS_EDW.RES_NCL.155.Load_DIM_Voyage,ODS_P.RES_SW.PACKAGE_DEFINITION
2804,RESERVATION,ODS_EDW.RES_NCL.155.Load_DIM_Voyage,ODS_P.RES_SW.PACKAGE_ITINERARY
2804,RESERVATION,ODS_EDW.RES_NCL.155.Load_DIM_Voyage,ODS_P_BUSINESS_SUPPORT.RES_SUPP.ROLLUP_PRODUCT_CODES_SUPP
